data_id,name,gamestyle,theme,difficulty,clear_rate,clears,attempts,plays,likes,boos,num_comments,timer,autoscroll_speed,uploaded,gamestyle_name
3024914,全自動1-1 / Automatic 1-1,0,0,0,47.51223766693922,217903,458625,243517,48430,2033,8137,300,0,1561720573,SMB1
3038310,マリオ相撲　MARIO SUMO,0,0,1,19.60365442648111,18904,96431,26137,6050,488,1379,300,0,1561729119,SMB1
3048585,どっちに行くと突破できる？Which one can go ?,0,7,1,29.175137414351326,15499,53124,17731,3827,118,1009,300,0,1561735512,SMB1
3004249,試作型・一画面スイッチ迷路,0,1,1,29.03510935701365,14125,48648,17602,4447,180,573,300,0,1561675361,SMB1
3044638,You vs. Boo (SMB Deluxe),0,6,1,43.393460838317694,18355,42299,22200,7538,471,1722,300,0,1561733165,SMB1
3005678,軽いのはどちら側?/Which side is go up？,0,5,1,22.422469648361325,7129,31794,9702,2422,173,633,500,0,1561680214,SMB1
3013305,雪原の細長い塔をのぼって　Snow Narrow Tower ,0,6,1,17.522530980097635,3733,21304,5635,1598,231,276,300,0,1561706891,SMB1
3004651,#03 Ice Peak,0,6,1,19.724794107115454,3856,19549,5663,1920,600,252,300,0,1561676564,SMB1
3019118,New Donk City,0,3,1,32.18949464191603,5497,17077,7718,2159,143,497,300,0,1561716918,SMB1
3001459,ジャンプ,0,1,1,15.08573359236422,1786,11839,2664,5,67,94,10,0,1561668345,SMB1
3009406,Return to Sarasaland: SML Remix,0,7,1,31.684550292244612,3632,11463,4836,1395,284,218,300,0,1561695492,SMB1
3027739,Snowy Plains,0,6,1,30.331463539010713,2974,9805,4131,659,103,190,300,0,1561722383,SMB1
3008749,SMB 1-1 Competitive Race,0,0,0,30.47303591760687,2944,9661,7098,1735,633,136,300,0,1561693463,SMB1
3028504,Ruins of 1-1,0,7,1,17.566427667650782,1666,9484,2747,730,71,132,300,0,1561722870,SMB1
3029024,タイムアタックにどうぞ！「初代10secチャレンジ」2,0,0,1,31.074182687085912,2861,9207,3111,371,96,56,10,0,1561723203,SMB1
3013955,Mario's Woods,0,9,1,15.11614730878187,1334,8825,2152,601,172,99,500,0,1561709032,SMB1
3003294,Super Mario Bros. 1-1 & 1-2,0,0,1,24.10378968931376,2118,8787,3133,975,384,226,500,0,1561672772,SMB1
3002963,Jungle Fever,0,9,1,19.60318403231555,1650,8417,2421,700,72,145,300,0,1561671996,SMB1
3009467,Super Mario Bros. 1-1 & 1-2 ,0,0,0,37.52492522432702,3011,8024,3773,1305,476,258,300,0,1561695661,SMB1
3030238,Friendship. Betrayal.,0,8,0,47.36317167435482,3799,8021,4756,1290,133,502,300,0,1561723967,SMB1
3050962,Getting Over It With Mario,0,0,1,17.994696300037884,1425,7919,1934,579,53,180,500,0,1561736809,SMB1
3004633,すすんでちかどう,0,1,1,38.87454827052142,3012,7748,3763,543,163,130,300,0,1561676496,SMB1
3007078,「青鬼」(マリメ2では初投稿です！),0,5,1,18.026490066225165,1361,7550,1926,380,34,98,300,0,1561686765,SMB1
3022218,Goomba Forest,0,9,1,21.576939381093684,1527,7077,2555,922,505,120,300,0,1561718948,SMB1
3000851,The beautiful forest,0,9,1,25.44602358633202,1683,6614,2222,591,33,156,300,0,1561665308,SMB1
