data_id,name,gamestyle,theme,difficulty,clear_rate,clears,attempts,plays,likes,boos,num_comments,timer,autoscroll_speed,uploaded,gamestyle_name
3156955,Suntouch Sanctuary,0,7,1,21.060422435983757,215831,1024818,342482,106152,6661,17544,300,0,1561772201,SMB1
3004669,Back to Gameboy,0,7,0,66.14869150736563,251326,379941,290382,84022,4172,19554,300,0,1561676613,SMB1
3024914,全自動1-1 / Automatic 1-1,0,0,0,47.51223766693922,217903,458625,243517,48430,2033,8137,300,0,1561720573,SMB1
3010710,table tennis,0,1,0,57.439360982653675,62849,109418,72179,19691,1237,4353,300,0,1561698960,SMB1
3063986,てらして すすんで まっくらいせき,0,5,0,38.92906115281792,39462,101369,50194,15683,1369,2458,300,0,1561742715,SMB1
3121213,Call Of Koop'thulhu,0,9,1,18.93295094936709,19145,101120,33991,10070,901,2391,300,0,1561762007,SMB1
3044638,You vs. Boo (SMB Deluxe),0,6,1,43.393460838317694,18355,42299,22200,7538,471,1722,300,0,1561733165,SMB1
3184107,Crimson Dream,0,3,1,30.51909714337617,13440,44038,20957,6111,351,1295,300,1,1561779570,SMB1
3038310,マリオ相撲　MARIO SUMO,0,0,1,19.60365442648111,18904,96431,26137,6050,488,1379,300,0,1561729119,SMB1
3163881,Mario vs Computer Table Tennis,0,1,1,47.64429383471797,17434,36592,20892,5888,310,1546,500,0,1561774088,SMB1
3083743,SML: Shooting Range Challenge,0,9,2,33.50900063794969,12081,36053,17559,5757,533,1737,300,0,1561749952,SMB1
3006493,Undertale MEGALOVANIA,0,1,0,65.32808001212305,17244,26396,20142,4836,138,2001,300,0,1561683946,SMB1
3004249,試作型・一画面スイッチ迷路,0,1,1,29.03510935701365,14125,48648,17602,4447,180,573,300,0,1561675361,SMB1
3048585,どっちに行くと突破できる？Which one can go ?,0,7,1,29.175137414351326,15499,53124,17731,3827,118,1009,300,0,1561735512,SMB1
3125208,マリオの洞窟だいさくせん　/　Cave Adventure,0,1,1,25.372917333023175,8726,34391,13476,3727,601,528,500,0,1561763200,SMB1
3091981,Upside down 1-2,0,0,1,19.630826026765114,8508,43340,16832,3270,249,1826,300,0,1561752695,SMB1
3005678,軽いのはどちら側?/Which side is go up？,0,5,1,22.422469648361325,7129,31794,9702,2422,173,633,500,0,1561680214,SMB1
3140753,! ILLUMINATI CONFIRMED !,0,7,1,53.52500645605578,6218,11617,7575,2384,143,904,500,0,1561767734,SMB1
3154215,Wood Man Stage,0,9,1,32.684067004285154,5873,17969,7463,2191,189,565,300,0,1561771435,SMB1
3019118,New Donk City,0,3,1,32.18949464191603,5497,17077,7718,2159,143,497,300,0,1561716918,SMB1
3004651,#03 Ice Peak,0,6,1,19.724794107115454,3856,19549,5663,1920,600,252,300,0,1561676564,SMB1
3008749,SMB 1-1 Competitive Race,0,0,0,30.47303591760687,2944,9661,7098,1735,633,136,300,0,1561693463,SMB1
3142356,High Above Koopa Troopa Forest,0,9,0,35.406698564593306,2072,5852,2784,1724,1101,103,300,0,1561768192,SMB1
3000309,Blocks In A Box,0,5,1,58.03801348865727,4733,8155,5308,1663,139,304,300,0,1561655648,SMB1
3013305,雪原の細長い塔をのぼって　Snow Narrow Tower ,0,6,1,17.522530980097635,3733,21304,5635,1598,231,276,300,0,1561706891,SMB1
3008364,The Slumbering Deep,0,9,1,56.90869354055367,4687,8236,6258,1556,201,430,300,0,1561692255,SMB1
3005340,Pac-man classic,0,9,0,51.43600047275736,4352,8461,5387,1536,255,376,420,0,1561678886,SMB1
3096532,xyp - Pong,0,1,0,64.49480642115203,5464,8472,6065,1490,91,316,300,0,1561754220,SMB1
3005554,Super Mario Land 1-1,0,7,0,55.24806279561236,5490,9937,5816,1444,325,302,300,0,1561679697,SMB1
3009406,Return to Sarasaland: SML Remix,0,7,1,31.684550292244612,3632,11463,4836,1395,284,218,300,0,1561695492,SMB1
3081382,Piranha Cave - Shoot-'em-up,0,9,1,19.437546560715173,3131,16108,5201,1338,129,221,300,1,1561749148,SMB1
3000330,Super Mario Land: 1-1,0,7,0,64.9138991389914,4222,6504,4464,1312,518,209,300,0,1561656060,SMB1
3009467,Super Mario Bros. 1-1 & 1-2 ,0,0,0,37.52492522432702,3011,8024,3773,1305,476,258,300,0,1561695661,SMB1
3030238,Friendship. Betrayal.,0,8,0,47.36317167435482,3799,8021,4756,1290,133,502,300,0,1561723967,SMB1
3131122,race to the top ,0,0,0,68.94934333958724,735,1066,855,1271,1039,35,300,0,1561764987,SMB1
3146785,2-2 - Tomb Raider,0,7,1,25.7438639791581,3755,14586,5555,1231,75,131,300,0,1561769401,SMB1
3053821,Infested Pipelands,0,9,1,36.443501969100275,1203,3301,1695,1222,812,59,420,0,1561738315,SMB1
3026296,敵を倒してゴールへ進め！,0,0,1,31.011764705882356,659,2125,944,1207,1424,42,500,0,1561721414,SMB1
